ingredient_canonical,grams_per_portion,note
rice,250,cooked weight per portion
white rice,250,cooked
brown rice,250,cooked
wholegrain rice,250,cooked
basmati rice,250,cooked
jasmine rice,250,cooked
pasta,200,cooked
whole wheat pasta,200,cooked
linguine,200,cooked
spaghetti,200,cooked
noodles,200,cooked
rice noodles,200,cooked
quinoa,180,cooked
couscous,180,cooked
giant couscous,180,cooked
bulgur wheat,180,cooked
farro,180,cooked
polenta,200,cooked
cheddar cheese,30,grated portion
cheese,30,grated portion
vegan cheese,30,grated portion
mozzarella,30,
feta,30,
parmesan,15,grated
vegan parmesan,15,
tortilla crisps,30,handful
tortilla chips,30,handful
crisps,30,handful
nachos,40,
bread,40,one slice
sourdough bread,50,one slice
pitta bread,60,one
tortilla,50,one wrap
butternut squash,150,
pumpkin,150,
sweet potatoes,150,
sweet potato,150,
baby potatoes,150,
potato,150,
maris piper potatoes,150,
baking potato,180,
cauliflower,100,florets portion
broccoli,80,
carrots,80,
carrot,80,
cucumber,50,
courgettes (zucchini),120,
aubergine (eggplant),150,
green beans,80,
asparagus,80,
brussels sprouts,80,
cherry tomatoes,80,
tomato,120,one
corn,80,
sweetcorn,80,
red cabbage,80,
cabbage,80,
kale,50,
spinach,50,
collard greens,50,
cavolo nero,50,
chard,50,
green leaf lettuce,30,
lettuce,30,
mushrooms,80,
peppers,120,one
mangetout,50,
peas,80,
edamame,80,
chickpeas,80,cooked
black beans,80,cooked
kidney beans,80,cooked
cannellini beans,80,cooked
pinto beans,80,cooked
butter beans,80,cooked
lentils,80,cooked
puy lentils,80,cooked
tofu,100,
tempeh,100,
lemon,60,one
lime,50,one
orange,130,one peeled
onions,110,one
onion,110,one
red onion,110,one
white onion,110,one
shallots,30,one
spring onion,15,one
green onions,15,one
garlic,5,one clove
ginger,10,thumb piece
red chilli,10,one
chilli peppers,10,one
jalapeno pepper,15,one
sesame seeds,10,sprinkle
pine nuts,15,handful
nuts,30,small handful
almonds,30,
walnuts,30,
cashews,30,
chia seeds,15,
flaxseed,10,
coriander,5,herb garnish
basil,5,herb garnish
parsley,5,herb garnish
mint,5,herb garnish
dill,5,herb garnish
chives,5,herb garnish
rocket,20,
medjool date,24,one to two
dates,24,
avocado,100,half
maple syrup,20,drizzle
honey,20,drizzle
olive oil,8,drizzle (1 tsp)
extra virgin olive oil,8,drizzle
chilli oil,5,drizzle
vegetable stock,250,prepared liquid portion
biome broth,250,prepared liquid portion
coconut milk,100,splash
almond milk,200,
oat milk,200,
soy milk,200,
nutritional yeast,5,sprinkle
alfalfa sprouts,20,
bean sprouts,40,
radishes,30,
matcha,2,
cayenne pepper,1,spice (trivial)
sea salt flakes,1,seasoning (trivial)
pomegranate,40,seeds
tamari,15,
soy sauce,15,
miso,15,paste
harissa,15,paste
tomato paste,15,
hummus,40,
pesto,20,
hearts of palm,10,"LLM estimate — Spritz/drizzle of apple cider vinegar; minimal amount, ~10g estimated"
lentil-walnut filling,150,LLM estimate — Half recipe of a filling; estimated as a generous portion ~150g
cooked rice,250,"Served portion — weight is cooked, valued at cooked-rice calories"
