ingredient_canonical,density
brown rice,0.85
white rice,0.85
oats,0.42
rolled oats,0.42
quinoa,0.85
flour,0.59
whole wheat flour,0.59
lentils,0.85
green lentils,0.85
red lentils,0.85
chickpeas,0.78
black beans,0.78
kidney beans,0.78
pinto beans,0.78
honey,1.42
maple syrup,1.32
olive oil,0.92
sunflower oil,0.92
rapeseed oil,0.92
coconut oil,0.92
soy sauce,1.16
tomato passata,1.05
tomato paste,1.10
peanut butter,1.05
almond butter,1.05
tahini,1.10
nutritional yeast,0.30
breadcrumbs,0.43
sugar,0.85
brown sugar,0.93
ground almonds,0.46
desiccated coconut,0.40
