raw,canonical
aubergine,aubergine (eggplant)
eggplant,aubergine (eggplant)
courgette,courgettes (zucchini)
zucchini,courgettes (zucchini)
garbanzo beans,chickpeas
cilantro,coriander
spring onion,green onions
scallion,scallions
sweet potato,sweet potatoes
flax seeds,flaxseed
linseed,flaxseed
linseeds,flaxseed
ground flax,flaxseed
ground flaxseed,flaxseed
chickpeas,chick peas
unsweetened almond milk,almond milk
sweetened almond milk,almond milk
unsweetened oat milk,oat milk
sweetened oat milk,oat milk
unsweetened soy milk,soy milk
sweetened soy milk,soy milk
light coconut milk,coconut milk
full fat coconut milk,coconut milk
full-fat coconut milk,coconut milk
canned coconut milk,coconut milk
tinned coconut milk,coconut milk
coconut milk,coconut milk
coconut cream,coconut cream
coconut yoghurt,coconut yogurt
coconut yogurt,coconut yogurt
whey protein,protein powder
pea protein powder,protein powder
vanilla protein powder,protein powder
chocolate protein powder,protein powder
desiccated coconut,coconut
shredded coconut,coconut
water,water
cold water,water
warm water,water
still water,water
boiling water,water
mixed berries,mixed berries
frozen mixed berries,mixed berries
frozen berries,mixed berries
honey,honey
runny honey,honey
clear honey,honey
soy sauce,soy sauce
low sodium soy sauce,soy sauce
light soy sauce,soy sauce
dark soy sauce,soy sauce
tamari,tamari
apple cider vinegar,apple cider vinegar
cider vinegar,apple cider vinegar
basmati rice,white rice
jasmine rice,white rice
pak choi,pak choi
baby pak choi,pak choi
red chilli,red chilli
fresh red chilli,red chilli
hot water,water
water,water
garlic-infused olive oil,olive oil
garlic infused olive oil,olive oil
red wine vinegar,red wine vinegar
white wine vinegar,white wine vinegar
apple cider vinegar,apple cider vinegar
balsamic vinegar,balsamic vinegar
