ingredient_canonical,kcal_per_100g,protein_g_per_100g,fiber_g_per_100g,fat_g_per_100g,carbs_g_per_100g,note
instant oats,388,11,4.0,6.9,69,Instant oats (packet label, per 100g)
vegan protein supplement,342,66,12,2.4,8.2,Vegan protein powder (packet label, per 100g)
red wine vinegar,19,0.1,0,0,0.3,Red wine vinegar (typical)
almond milk,13,0.4,0.3,1.1,0.2,Almond Breeze unsweetened (label per 100ml); fibre typical
oat milk,47,0.5,0.8,1.5,7.6,Tesco Oat Drink (label per 100ml); fibre typical
whey protein,381,80.86,0.43,0.67,12.56,Whey protein powder (tub label per 100g) — used by smoothie recipes
mushrooms,22,3.1,1.0,0.3,3.3,"Fresh white mushrooms — was 333, a dried/powder figure"
cranberries,46,0.4,4.6,0.1,12.2,"Fresh — was 325, the dried value"
pomegranate,83,1.7,4.0,1.2,18.7,Fresh arils — was 314
red onion,40,1.1,1.7,0.1,9.3,Raw — was 266
turnip greens,32,1.5,3.2,0.3,7.1,Raw — was 261
star fruit,31,1.0,2.8,0.3,6.7,Raw carambola — was 268
apricot,48,1.4,2.0,0.4,11.1,"Fresh — was 241, the dried value"
pea pods,42,2.8,2.6,0.2,7.6,Raw mangetout — was 142
avocados,160,2.0,6.7,14.7,8.5,"Verified correct — dense but genuine, pinned to silence the plausibility check"
garlic,149,6.4,2.1,0.5,33.1,Verified correct — raw garlic really is this dense
